#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Shared_10_100,6379,67676,373,6604
Shared_10_1000,3600000,120000000,36660,164740
Shared_10_120,11761,69620,310,6840
Shared_10_140,22104,73752,211,7044
Shared_10_160,41424,79876,175,7196
Shared_10_180,62858,86084,230,7688
Shared_10_200,99401,96316,315,7884
Shared_10_220,157626,106704,410,8352
Shared_10_240,216519,116936,516,8784
Shared_10_260,301589,135316,673,9252
Shared_10_280,423067,186644,815,10052
Shared_10_300,548383,213420,982,10492
Shared_10_320,706827,317824,1210,11468
Shared_10_340,938291,319688,1450,12364
Shared_10_360,1171162,318684,1684,13256
Shared_10_380,1448615,493856,1997,14308
Shared_10_400,1871047,582084,2364,15932
Shared_10_420,2241375,582276,2613,17588
Shared_10_440,2684262,583992,3036,19504
Shared_10_460,3297228,583472,3504,21348
Shared_10_480,3600000,120000000,3954,22904
Shared_10_500,3600000,120000000,4419,26464
Shared_10_520,3600000,120000000,5040,27896
Shared_10_540,3600000,120000000,5526,28928
Shared_10_560,3600000,120000000,6181,30244
Shared_10_580,3600000,120000000,6936,31508
Shared_10_600,3600000,120000000,7570,31304
Shared_10_620,3600000,120000000,8383,32416
Shared_10_640,3600000,120000000,9178,34392
Shared_10_660,3600000,120000000,10004,36380
Shared_10_680,3600000,120000000,11138,38724
Shared_10_700,3600000,120000000,12112,44160
Shared_10_720,3600000,120000000,12972,46528
Shared_10_740,3600000,120000000,14178,49300
Shared_10_760,3600000,120000000,15241,52116
Shared_10_780,3600000,120000000,16999,73584
Shared_10_800,3600000,120000000,18283,79884
Shared_10_820,3600000,120000000,20113,85932
Shared_10_840,3600000,120000000,21353,91528
Shared_10_860,3600000,120000000,23358,101680
Shared_10_880,3600000,120000000,24893,109708
Shared_10_900,3600000,120000000,26550,115984
Shared_10_920,3600000,120000000,28284,124760
Shared_10_940,3600000,120000000,31533,133352
Shared_10_960,3600000,120000000,32928,141300
Shared_10_980,3600000,120000000,34709,154296
